school,program,occurrence,category,level,year,points,status
Asker,Studiespesialisering,0,ST,Vg1,2025,42.5,points
Bjertnes,Bygg- og anleggsteknikk,0,BA,Vg1,2025,26.9,points
Bjertnes,Elektro og datateknologi,0,EL,Vg1,2025,38.8,points
Bjertnes,Helse- og oppvekstfag,0,HS,Vg1,2025,,open
Bjertnes,"Salg, service og reiseliv",0,SR,Vg1,2025,32.9,points
Bjertnes,Studiespesialisering,0,ST,Vg1,2025,38.8,points
Bjørkelangen,Elektro og datateknologi,0,EL,Vg1,2025,31.3,points
Bjørkelangen,"Frisør, blomster, interiør og eksponeringsdesign",0,FD,Vg1,2025,0.0,points
Bjørkelangen,Helse- og oppvekstfag,0,HS,Vg1,2025,25.8,points
Bjørkelangen,Idrettsfag,0,ID,Vg1,2025,39.4,points
Bjørkelangen,"Salg, service og reiseliv",0,SR,Vg1,2025,20.0,points
Bjørkelangen,Studiespesialisering,0,ST,Vg1,2025,31.2,points
Bjørkelangen,Teknologi- og industrifag,0,TP,Vg1,2025,,open
Bleiker,Elektro og datateknologi,0,EL,Vg1,2025,34.1,points
Bleiker,Helse- og oppvekstfag,0,HS,Vg1,2025,29.4,points
Bleiker,Idrettsfag,0,ID,Vg1,2025,45.9,points
Bleiker,"Idrettsfag, toppidrett",0,ID,Vg1,2025,,documentation
Bleiker,Informasjonsteknologi og medieproduksjon,0,IM,Vg1,2025,,open
Bleiker,Medier og kommunikasjon,0,MK,Vg1,2025,37.8,points
Bleiker,"Salg, service og reiseliv",0,SR,Vg1,2025,38.2,points
Bleiker,Teknologi- og industrifag,0,TP,Vg1,2025,31.9,points
Drømtorp,Helse- og oppvekstfag,0,HS,Vg1,2025,,open
Drømtorp,Informasjonsteknologi og medieproduksjon,0,IM,Vg1,2025,27.5,points
Drømtorp,Medier og kommunikasjon,0,MK,Vg1,2025,,open
Drømtorp,"Salg, service og reiseliv",0,SR,Vg1,2025,,open
Dønski,Idrettsfag,0,ID,Vg1,2025,43.2,points
Dønski,"Idrettsfag, alpin, 4-årig",0,ID,Vg1,2025,,documentation
Dønski,"Idrettsfag, toppidrett",0,ID,Vg1,2025,,documentation
Dønski,Studiespesialisering,0,ST,Vg1,2025,40.2,points
Dønski,"Studiespesialisering, toppidrett",0,ST,Vg1,2025,,documentation
Eidsvoll,Bygg- og anleggsteknikk,0,BA,Vg1,2025,29.4,points
Eidsvoll,Elektro og datateknologi,0,EL,Vg1,2025,40.0,points
Eidsvoll,Helse- og oppvekstfag,0,HS,Vg1,2025,24.7,points
Eidsvoll,Idrettsfag,0,ID,Vg1,2025,35.6,points
Eidsvoll,Studiespesialisering,0,ST,Vg1,2025,,open
Eidsvoll,Teknologi- og industrifag,0,TP,Vg1,2025,29.3,points
Eikeli,"Salg, service og reiseliv",0,SR,Vg1,2025,,open
Eikeli,Studiespesialisering,0,ST,Vg1,2025,,open
Frogn,Idrettsfag,0,ID,Vg1,2025,37.5,points
Frogn,"Salg, service og reiseliv",0,SR,Vg1,2025,20.0,points
Frogn,"Salg, service og reiseliv, SK",0,SR,Vg1,2025,35.7,points
Frogn,Studiespesialisering,0,ST,Vg1,2025,,open
Hvam,Idrettsfag,0,ID,Vg1,2025,,open
Hvam,Medier og kommunikasjon,0,MK,Vg1,2025,,open
Hvam,Naturbruk,0,NA,Vg1,2025,0.0,points
Hvam,"Naturbruk, energi-/miljøfag, SK 3 år",0,NA,Vg1,2025,,open
Hvam,"Naturbruk, realfag og dyrekunnskap, SK 3 år",0,NA,Vg1,2025,32.8,points
Jessheim,Helse- og oppvekstfag,0,HS,Vg1,2025,25.3,points
Jessheim,"Kunst, design og arkitektur",0,KD,Vg1,2025,38.8,points
Jessheim,"Musikk, dans og drama",0,MD,Vg1,2025,,documentation
Jessheim,"Salg, service og reiseliv",0,SR,Vg1,2025,28.8,points
Jessheim,Studiespesialisering,0,ST,Vg1,2025,40.9,points
Jessheim,Teknologi- og industrifag,0,TP,Vg1,2025,30.3,points
Kjelle,Bygg- og anleggsteknikk,0,BA,Vg1,2025,,open
Kjelle,Naturbruk,0,NA,Vg1,2025,26.8,points
Lillestrøm,Medier og kommunikasjon,0,MK,Vg1,2025,41.3,points
Lillestrøm,"Musikk, dans og drama",0,MD,Vg1,2025,,documentation
Lillestrøm,Studiespesialisering,0,ST,Vg1,2025,47.8,points
Lillestrøm,"Studiespesialisering, forberedende IB",0,ST,Vg1,2025,36.0,points
Lørenskog,"Frisør, blomster, interiør og eksponeringsdesign",0,FD,Vg1,2025,28.1,points
Lørenskog,Idrettsfag,0,ID,Vg1,2025,43.1,points
Lørenskog,"Kunst, design og arkitektur",0,KD,Vg1,2025,37.3,points
Lørenskog,Restaurant- og matfag,0,RM,Vg1,2025,,open
Lørenskog,Studiespesialisering,0,ST,Vg1,2025,42.9,points
Lørenskog,"Studiespesialisering, toppidrett",0,ST,Vg1,2025,49.1,points
Mailand,Helse- og oppvekstfag,0,HS,Vg1,2025,22.0,points
Mailand,Informasjonsteknologi og medieproduksjon,0,IM,Vg1,2025,36.0,points
Mailand,"Salg, service og reiseliv",0,SR,Vg1,2025,33.8,points
Mailand,Studiespesialisering,0,ST,Vg1,2025,32.5,points
Nadderud,Idrettsfag,0,ID,Vg1,2025,48.0,points
Nadderud,Studiespesialisering,0,ST,Vg1,2025,48.5,points
Nannestad,Helse- og oppvekstfag,0,HS,Vg1,2025,23.8,points
Nannestad,Idrettsfag,0,ID,Vg1,2025,40.3,points
Nannestad,Informasjonsteknologi og medieproduksjon,0,IM,Vg1,2025,38.8,points
Nannestad,Medier og kommunikasjon,0,MK,Vg1,2025,,open
Nannestad,Restaurant- og matfag,0,RM,Vg1,2025,,open
Nannestad,"Salg, service og reiseliv",0,SR,Vg1,2025,31.8,points
Nannestad,Studiespesialisering,0,ST,Vg1,2025,39.6,points
Nes,Bygg- og anleggsteknikk,0,BA,Vg1,2025,,open
Nes,Elektro og datateknologi,0,EL,Vg1,2025,27.1,points
Nes,Helse- og oppvekstfag,0,HS,Vg1,2025,15.6,points
Nes,Idrettsfag,0,ID,Vg1,2025,33.5,points
Nes,Studiespesialisering,0,ST,Vg1,2025,,open
Nesbru,Bygg- og anleggsteknikk,0,BA,Vg1,2025,26.3,points
Nesbru,Studiespesialisering,0,ST,Vg1,2025,38.8,points
Nesbru,"Studiespesialisering, forberedende IB",0,ST,Vg1,2025,43.8,points
Nesodden,Elektro og datateknologi,0,EL,Vg1,2025,33.8,points
Nesodden,Helse- og oppvekstfag,0,HS,Vg1,2025,,open
Nesodden,Informasjonsteknologi og medieproduksjon,0,IM,Vg1,2025,,open
Nesodden,Studiespesialisering,0,ST,Vg1,2025,34.7,points
Roald Amundsen,Idrettsfag,0,ID,Vg1,2025,41.3,points
Roald Amundsen,Studiespesialisering,0,ST,Vg1,2025,,open
Rosenvilde,Helse- og oppvekstfag,0,HS,Vg1,2025,28.0,points
Rosenvilde,Informasjonsteknologi og medieproduksjon,0,IM,Vg1,2025,40.3,points
Rosenvilde,"Kunst, design og arkitektur",0,KD,Vg1,2025,22.5,points
Rosenvilde,Medier og kommunikasjon,0,MK,Vg1,2025,33.1,points
Rosenvilde,Restaurant- og matfag,0,RM,Vg1,2025,28.8,points
Rosenvilde,Studiespesialisering,0,ST,Vg1,2025,30.0,points
Rud,Elektro og datateknologi,0,EL,Vg1,2025,30.2,points
Rud,"Elektro og datateknologi, SK 3 år",0,EL,Vg1,2025,33.7,points
Rud,"Frisør, blomster, interiør og eksponeringsdesign",0,FD,Vg1,2025,34.0,points
Rud,Helse- og oppvekstfag,0,HS,Vg1,2025,23.3,points
Rud,"Håndverk, design og produktutvikling",0,DT,Vg1,2025,,open
Rud,"Musikk, dans og drama",0,MD,Vg1,2025,,documentation
Rud,Teknologi- og industrifag,0,TP,Vg1,2025,29.5,points
Rælingen,Idrettsfag,0,ID,Vg1,2025,21.6,points
Rælingen,"Idrettsfag, toppidrett",0,ID,Vg1,2025,,documentation
Rælingen,"Salg, service og reiseliv",0,SR,Vg1,2025,18.1,points
Rælingen,Studiespesialisering,0,ST,Vg1,2025,,open
Rælingen,"Studiespesialisering, toppidrett",0,ST,Vg1,2025,,open
Røyken,Bygg- og anleggsteknikk,0,BA,Vg1,2025,29.4,points
Røyken,Elektro og datateknologi,0,EL,Vg1,2025,,open
Røyken,"Frisør, blomster, interiør og eksponeringsdesign",0,FD,Vg1,2025,31.0,points
Røyken,Helse- og oppvekstfag,0,HS,Vg1,2025,29.1,points
Røyken,Informasjonsteknologi og medieproduksjon,0,IM,Vg1,2025,,open
Røyken,"Kunst, design og arkitektur",0,KD,Vg1,2025,,open
Røyken,"Salg, service og reiseliv",0,SR,Vg1,2025,36.9,points
Røyken,Studiespesialisering,0,ST,Vg1,2025,,open
Sandvika,Helse- og oppvekstfag,0,HS,Vg1,2025,33.1,points
Sandvika,Medier og kommunikasjon,0,MK,Vg1,2025,42.0,points
Sandvika,Studiespesialisering,0,ST,Vg1,2025,42.5,points
Skedsmo,Bygg- og anleggsteknikk,0,BA,Vg1,2025,28.7,points
Skedsmo,Elektro og datateknologi,0,EL,Vg1,2025,33.3,points
Skedsmo,"Håndverk, design og produktutvikling",0,DT,Vg1,2025,,open
Skedsmo,Studiespesialisering,0,ST,Vg1,2025,34.4,points
Ski,Idrettsfag,0,ID,Vg1,2025,45.0,points
Ski,"Musikk, dans og drama",0,MD,Vg1,2025,,documentation
Ski,Studiespesialisering,0,ST,Vg1,2025,44.5,points
Stabekk,Studiespesialisering,0,ST,Vg1,2025,41.2,points
Strømmen,Elektro og datateknologi,0,EL,Vg1,2025,28.8,points
Strømmen,Helse- og oppvekstfag,0,HS,Vg1,2025,,open
Strømmen,Teknologi- og industrifag,0,TP,Vg1,2025,30.0,points
Sørumsand,Elektro og datateknologi,0,EL,Vg1,2025,0.0,points
Sørumsand,Medier og kommunikasjon,0,MK,Vg1,2025,,open
Sørumsand,Restaurant- og matfag,0,RM,Vg1,2025,,open
Sørumsand,Studiespesialisering,0,ST,Vg1,2025,,open
Sørumsand,Teknologi- og industrifag,0,TP,Vg1,2025,,open
Valler,Studiespesialisering,0,ST,Vg1,2025,46.3,points
Vestby,Bygg- og anleggsteknikk,0,BA,Vg1,2025,16.4,points
Vestby,Restaurant- og matfag,0,RM,Vg1,2025,,open
Vestby,"Salg, service og reiseliv",0,SR,Vg1,2025,31.4,points
Vestby,Studiespesialisering,0,ST,Vg1,2025,25.0,points
Vestby,"Studiespesialisering, forskerlinje",0,ST,Vg1,2025,,open
Ås,Elektro og datateknologi,0,EL,Vg1,2025,37.7,points
Ås,"Frisør, blomster, interiør og eksponeringsdesign",0,FD,Vg1,2025,36.2,points
Ås,Helse- og oppvekstfag,0,HS,Vg1,2025,38.7,points
Ås,Idrettsfag,0,ID,Vg1,2025,45.9,points
Ås,"Kunst, design og arkitektur",0,KD,Vg1,2025,45.0,points
Ås,Studiespesialisering,0,ST,Vg1,2025,45.6,points
Ås,"Studiespesialisering, forberedende IB",0,ST,Vg1,2025,,open
Ås,Teknologi- og industrifag,0,TP,Vg1,2025,32.4,points
Buskerud,Bygg- og anleggsteknikk,0,BA,Vg1,2024,26.0,points
Buskerud,Bygg- og anleggsteknikk,0,BA,Vg1,2025,25.7,points
Buskerud,Elektro og datateknologi,0,EL,Vg1,2024,34.3,points
Buskerud,Elektro og datateknologi,0,EL,Vg1,2025,33.1,points
Buskerud,Helse- og oppvekstfag,0,HS,Vg1,2024,25.3,points
Buskerud,Helse- og oppvekstfag,0,HS,Vg1,2025,20.0,points
Buskerud,Idrettsfag,0,ID,Vg1,2024,42.3,points
Buskerud,Idrettsfag,0,ID,Vg1,2025,32.5,points
Buskerud,Naturbruk,0,NA,Vg1,2024,,open
Buskerud,Naturbruk,0,NA,Vg1,2025,18.8,points
Buskerud,Restaurant- og matfag,0,RM,Vg1,2024,21.1,points
Buskerud,Restaurant- og matfag,0,RM,Vg1,2025,,open
Buskerud,"Salg, service og reiseliv",0,SR,Vg1,2024,40.3,points
Buskerud,"Salg, service og reiseliv",0,SR,Vg1,2025,30.9,points
Buskerud,Studiespesialisering,0,ST,Vg1,2024,,open
Buskerud,Studiespesialisering,0,ST,Vg1,2025,,open
Buskerud,Teknologi- og industrifag,0,TP,Vg1,2024,29.2,points
Buskerud,Teknologi- og industrifag,0,TP,Vg1,2025,13.8,points
Drammen,Idrettsfag,0,ID,Vg1,2024,,documentation
Drammen,"Idrettsfag, toppidrett",0,ID,Vg1,2025,51.3,points
Drammen,"Kunst, design og arkitektur",0,KD,Vg1,2024,42.4,points
Drammen,"Kunst, design og arkitektur",0,KD,Vg1,2025,40.6,points
Drammen,"Salg, service og reiseliv",0,SR,Vg1,2024,38.7,points
Drammen,"Salg, service og reiseliv",0,SR,Vg1,2025,37.5,points
Drammen,Studiespesialisering,0,ST,Vg1,2024,43.1,points
Drammen,Studiespesialisering,0,ST,Vg1,2025,41.8,points
Drammen,"Studiespesialisering, entreprenørskap",0,ST,Vg1,2024,48.4,points
Drammen,"Studiespesialisering, entreprenørskap",0,ST,Vg1,2025,45.3,points
Drammen,"Studiespesialisering, forskerlinje",0,ST,Vg1,2024,37.5,points
Drammen,"Studiespesialisering, forskerlinje",0,ST,Vg1,2025,30.7,points
Drammen,"Studiespesialisering, internasjonalisering",0,ST,Vg1,2024,37.2,points
Drammen,"Studiespesialisering, internasjonalisering",0,ST,Vg1,2025,28.8,points
Eiker,Helse- og oppvekstfag,0,HS,Vg1,2024,32.3,points
Eiker,Helse- og oppvekstfag,0,HS,Vg1,2025,35.6,points
Eiker,"Salg, service og reiseliv",0,SR,Vg1,2024,32.0,points
Eiker,"Salg, service og reiseliv",0,SR,Vg1,2025,34.0,points
Eiker,Studiespesialisering,0,ST,Vg1,2024,37.5,points
Eiker,Studiespesialisering,0,ST,Vg1,2025,33.8,points
Gol,Idrettsfag,0,ID,Vg1,2024,42.7,points
Gol,Idrettsfag,0,ID,Vg1,2025,29.0,points
Gol,Restaurant- og matfag,0,RM,Vg1,2024,,open
Gol,Restaurant- og matfag,0,RM,Vg1,2025,12.5,points
Gol,Studiespesialisering,0,ST,Vg1,2024,,open
Gol,Studiespesialisering,0,ST,Vg1,2025,24.1,points
Hønefoss,Bygg- og anleggsteknikk,0,BA,Vg1,2024,33.6,points
Hønefoss,Bygg- og anleggsteknikk,0,BA,Vg1,2025,27.6,points
Hønefoss,Elektro og datateknologi,0,EL,Vg1,2024,39.1,points
Hønefoss,Elektro og datateknologi,0,EL,Vg1,2025,36.2,points
Hønefoss,"Frisør, blomster, interiør og eksponeringsdesign",0,FD,Vg1,2024,27.5,points
Hønefoss,"Frisør, blomster, interiør og eksponeringsdesign",0,FD,Vg1,2025,18.1,points
Hønefoss,Helse- og oppvekstfag,0,HS,Vg1,2024,36.0,points
Hønefoss,Helse- og oppvekstfag,0,HS,Vg1,2025,38.3,points
Hønefoss,"Helse- og oppvekstfag, YSK 4 år",0,HS,Vg1,2025,40.7,points
Hønefoss,Informasjonsteknologi og medieproduksjon,0,IM,Vg1,2024,38.4,points
Hønefoss,Informasjonsteknologi og medieproduksjon,0,IM,Vg1,2025,35.6,points
Hønefoss,"Kunst, design og arkitektur",0,KD,Vg1,2024,21.1,points
Hønefoss,"Kunst, design og arkitektur",0,KD,Vg1,2025,,open
Hønefoss,Medier og kommunikasjon,0,MK,Vg1,2024,37.5,points
Hønefoss,Medier og kommunikasjon,0,MK,Vg1,2025,35.7,points
Hønefoss,Restaurant- og matfag,0,RM,Vg1,2024,30.6,points
Hønefoss,Restaurant- og matfag,0,RM,Vg1,2025,30.3,points
Hønefoss,Teknologi- og industrifag,0,TP,Vg1,2024,30.3,points
Hønefoss,Teknologi- og industrifag,0,TP,Vg1,2025,31.6,points
Kongsberg,Bygg- og anleggsteknikk,0,BA,Vg1,2024,25.4,points
Kongsberg,Bygg- og anleggsteknikk,0,BA,Vg1,2025,,open
Kongsberg,Elektro og datateknologi,0,EL,Vg1,2024,34.1,points
Kongsberg,Elektro og datateknologi,0,EL,Vg1,2025,34.4,points
Kongsberg,Helse- og oppvekstfag,0,HS,Vg1,2024,29.0,points
Kongsberg,Helse- og oppvekstfag,0,HS,Vg1,2025,31.7,points
Kongsberg,"Håndverk, design og produktutvikling",0,DT,Vg1,2024,33.3,points
Kongsberg,"Håndverk, design og produktutvikling",0,DT,Vg1,2025,29.7,points
Kongsberg,Idrettsfag,0,ID,Vg1,2024,45.0,points
Kongsberg,Idrettsfag,0,ID,Vg1,2025,48.2,points
Kongsberg,Informasjonsteknologi og medieproduksjon,0,IM,Vg1,2024,36.7,points
Kongsberg,Informasjonsteknologi og medieproduksjon,0,IM,Vg1,2025,42.7,points
Kongsberg,"Musikk, dans og drama",0,MD,Vg1,2024,,documentation
Kongsberg,"Musikk, dans og drama",0,MD,Vg1,2025,4.0,points
Kongsberg,Naturbruk,0,NA,Vg1,2024,20.6,points
Kongsberg,Naturbruk,0,NA,Vg1,2025,30.7,points
Kongsberg,Restaurant- og matfag,0,RM,Vg1,2024,35.7,points
Kongsberg,Restaurant- og matfag,0,RM,Vg1,2025,29.1,points
Kongsberg,"Salg, service og reiseliv",0,SR,Vg1,2024,38.8,points
Kongsberg,"Salg, service og reiseliv",0,SR,Vg1,2025,31.6,points
Kongsberg,Studiespesialisering,0,ST,Vg1,2024,36.2,points
Kongsberg,Studiespesialisering,0,ST,Vg1,2025,37.5,points
Kongsberg,Teknologi- og industrifag,0,TP,Vg1,2024,33.0,points
Kongsberg,Teknologi- og industrifag,0,TP,Vg1,2025,33.8,points
Lier,Elektro og datateknologi,0,EL,Vg1,2024,39.4,points
Lier,Elektro og datateknologi,0,EL,Vg1,2025,37.7,points
Lier,"Elektro og datateknologi, helse- og miljøteknologi, studiekompetanse (3 år)",0,EL,Vg1,2025,24.0,points
Lier,"Elektro og datateknologi, studiekompetanse",0,EL,Vg1,2024,35.9,points
Lier,"Frisør, blomster, interiør og eksponeringsdesign",0,FD,Vg1,2024,24.6,points
Lier,Helse- og oppvekstfag,0,HS,Vg1,2024,33.4,points
Lier,Helse- og oppvekstfag,0,HS,Vg1,2025,33.0,points
Lier,"Helse- og oppvekstfag, YSK 4 år",0,HS,Vg1,2025,33.4,points
Lier,"Helse- og oppvekstfag, barne- og ungdomsarbeider, studiekompetanse (3 år)",0,HS,Vg1,2025,39.7,points
Lier,"Helse- og oppvekstfag, studiekompetanse",0,HS,Vg1,2024,39.2,points
Lier,"Salg, service og reiseliv",0,SR,Vg1,2024,37.5,points
Lier,"Salg, service og reiseliv",0,SR,Vg1,2025,,open
Lier,"Salg, service og reiseliv, YSK 4 år",0,SR,Vg1,2025,34.4,points
Numedal,Bygg- og anleggsteknikk,0,BA,Vg1,2024,25.0,points
Numedal,Bygg- og anleggsteknikk,0,BA,Vg1,2025,34.0,points
Numedal,Elektro og datateknologi,0,EL,Vg1,2024,40.0,points
Numedal,Elektro og datateknologi,0,EL,Vg1,2025,29.7,points
Numedal,Helse- og oppvekstfag,0,HS,Vg1,2024,,open
Numedal,Helse- og oppvekstfag,0,HS,Vg1,2025,,open
Numedal,"Salg, service og reiseliv",0,SR,Vg1,2024,29.2,points
Numedal,"Salg, service og reiseliv",0,SR,Vg1,2025,27.5,points
Numedal,Studiespesialisering,0,ST,Vg1,2024,30.7,points
Numedal,Studiespesialisering,0,ST,Vg1,2025,,open
Numedal,Teknologi- og industrifag,0,TP,Vg1,2024,19.0,points
Numedal,Teknologi- og industrifag,0,TP,Vg1,2025,22.7,points
Ringerike,Idrettsfag,0,ID,Vg1,2024,,documentation
Ringerike,Idrettsfag,0,ID,Vg1,2025,43.1,points
Ringerike,"Idrettsfag, toppidrett",0,ID,Vg1,2025,45.0,points
Ringerike,"Musikk, dans og drama",0,MD,Vg1,2024,,documentation
Ringerike,"Musikk, dans og drama",0,MD,Vg1,2025,11.0,points
Ringerike,"Salg, service og reiseliv",0,SR,Vg1,2024,34.4,points
Ringerike,"Salg, service og reiseliv",0,SR,Vg1,2025,33.0,points
Ringerike,Studiespesialisering,0,ST,Vg1,2024,36.7,points
Ringerike,Studiespesialisering,0,ST,Vg1,2025,,open
St.Hallvard,Idrettsfag,0,ID,Vg1,2024,43.5,points
St.Hallvard,Idrettsfag,0,ID,Vg1,2025,44.4,points
St.Hallvard,"Musikk, dans og drama",0,MD,Vg1,2024,,documentation
St.Hallvard,"Musikk, dans og drama",0,MD,Vg1,2025,35.0,points
St.Hallvard,Studiespesialisering,0,ST,Vg1,2024,39.3,points
St.Hallvard,Studiespesialisering,0,ST,Vg1,2025,36.9,points
Ål,Bygg- og anleggsteknikk,0,BA,Vg1,2024,,open
Ål,Bygg- og anleggsteknikk,0,BA,Vg1,2025,23.4,points
Ål,Elektro og datateknologi,0,EL,Vg1,2024,24.0,points
Ål,Elektro og datateknologi,0,EL,Vg1,2025,32.0,points
Ål,Helse- og oppvekstfag,0,HS,Vg1,2024,45.2,points
Ål,Helse- og oppvekstfag,0,HS,Vg1,2025,20.0,points
Ål,"Salg, service og reiseliv",0,SR,Vg1,2024,34.3,points
Ål,"Salg, service og reiseliv",0,SR,Vg1,2025,26.3,points
Ål,Teknologi- og industrifag,0,TP,Vg1,2024,,open
Ål,Teknologi- og industrifag,0,TP,Vg1,2025,17.5,points
Åssiden,Bygg- og anleggsteknikk,0,BA,Vg1,2024,21.2,points
Åssiden,Bygg- og anleggsteknikk,0,BA,Vg1,2025,14.6,points
Åssiden,Elektro og datateknologi,0,EL,Vg1,2024,33.5,points
Åssiden,Elektro og datateknologi,0,EL,Vg1,2025,32.9,points
Åssiden,"Frisør, blomster, interiør og eksponeringsdesign",0,FD,Vg1,2024,32.7,points
Åssiden,"Frisør, blomster, interiør og eksponeringsdesign",0,FD,Vg1,2025,14.0,points
Åssiden,Helse- og oppvekstfag,0,HS,Vg1,2024,30.0,points
Åssiden,Helse- og oppvekstfag,0,HS,Vg1,2025,31.8,points
Åssiden,Informasjonsteknologi og medieproduksjon,0,IM,Vg1,2024,34.7,points
Åssiden,Informasjonsteknologi og medieproduksjon,0,IM,Vg1,2025,31.8,points
Åssiden,Medier og kommunikasjon,0,MK,Vg1,2024,32.1,points
Åssiden,Medier og kommunikasjon,0,MK,Vg1,2025,31.2,points
Åssiden,Restaurant- og matfag,0,RM,Vg1,2024,,open
Åssiden,Restaurant- og matfag,0,RM,Vg1,2025,,open
Åssiden,Teknologi- og industrifag,0,TP,Vg1,2024,14.3,points
Åssiden,Teknologi- og industrifag,0,TP,Vg1,2025,26.9,points
Elverum videregående skole,Bygg- og anleggsteknikk,0,BA,Vg1,2023,0.0,points
Elverum videregående skole,Bygg- og anleggsteknikk,0,BA,Vg1,2024,31.7,points
Elverum videregående skole,Bygg- og anleggsteknikk,0,BA,Vg1,2025,,open
Elverum videregående skole,Elektro og datateknologi,0,EL,Vg1,2023,37.6,points
Elverum videregående skole,Elektro og datateknologi,0,EL,Vg1,2024,36.0,points
Elverum videregående skole,Elektro og datateknologi,0,EL,Vg1,2025,34.3,points
Elverum videregående skole,Helse- og oppvekstfag,0,HS,Vg1,2023,,open
Elverum videregående skole,Helse- og oppvekstfag,0,HS,Vg1,2024,,open
Elverum videregående skole,Helse- og oppvekstfag,0,HS,Vg1,2025,0.0,points
Elverum videregående skole,Idrettsfag,0,ID,Vg1,2023,,open
Elverum videregående skole,Idrettsfag,0,ID,Vg1,2024,44.4,points
Elverum videregående skole,Idrettsfag,0,ID,Vg1,2025,39.3,points
Elverum videregående skole,"Salg, service og reiseliv",0,SR,Vg1,2023,,open
Elverum videregående skole,"Salg, service og reiseliv",0,SR,Vg1,2024,26.3,points
Elverum videregående skole,"Salg, service og reiseliv",0,SR,Vg1,2025,26.9,points
Elverum videregående skole,"Salg, service og reiseliv, YSK",0,SR,Vg1,2023,,documentation
Elverum videregående skole,"Salg, service og reiseliv, YSK",0,SR,Vg1,2024,,documentation
Elverum videregående skole,"Salg, service og reiseliv, YSK",0,SR,Vg1,2025,,documentation
Elverum videregående skole,Studiespesialisering,0,ST,Vg1,2023,,open
Elverum videregående skole,Studiespesialisering,0,ST,Vg1,2024,,open
Elverum videregående skole,Studiespesialisering,0,ST,Vg1,2025,,open
Elverum videregående skole,"Studiespesialisering, forberedende IB",0,ST,Vg1,2023,,open
Elverum videregående skole,"Studiespesialisering, forberedende IB",0,ST,Vg1,2024,,open
Elverum videregående skole,"Studiespesialisering, forberedende IB",0,ST,Vg1,2025,,open
Elverum videregående skole,Teknologi- og industrifag,0,TP,Vg1,2023,,open
Elverum videregående skole,Teknologi- og industrifag,0,TP,Vg1,2024,35.0,points
Elverum videregående skole,Teknologi- og industrifag,0,TP,Vg1,2025,33.8,points
Elverum videregående skole,Barne- og ungdomsarbeider,0,HS,Vg2,2023,,open
Elverum videregående skole,Barne- og ungdomsarbeider,0,HS,Vg2,2024,25.0,points
Elverum videregående skole,Barne- og ungdomsarbeider,0,HS,Vg2,2025,27.5,points
Elverum videregående skole,"Bilskade, lakk og karosseri",0,TP,Vg2,2023,,open
Elverum videregående skole,"Bilskade, lakk og karosseri",0,TP,Vg2,2024,30.0,points
Elverum videregående skole,"Bilskade, lakk og karosseri",0,TP,Vg2,2025,31.3,points
Elverum videregående skole,Elenergi og ekom,0,EL,Vg2,2023,45.7,points
Elverum videregående skole,Elenergi og ekom,0,EL,Vg2,2024,45.7,points
Elverum videregående skole,Elenergi og ekom,0,EL,Vg2,2025,46.3,points
Elverum videregående skole,Helsearbeiderfag,0,HS,Vg2,2023,0.0,points
Elverum videregående skole,Helsearbeiderfag,0,HS,Vg2,2024,26.7,points
Elverum videregående skole,Helsearbeiderfag,0,HS,Vg2,2025,34.4,points
Elverum videregående skole,Helseservicefag,0,HS,Vg2,2023,,open
Elverum videregående skole,Helseservicefag,0,HS,Vg2,2024,23.3,points
Elverum videregående skole,Helseservicefag,0,HS,Vg2,2025,33.8,points
Elverum videregående skole,Idrettsfag,1,ID,Vg2,2023,,open
Elverum videregående skole,Idrettsfag,1,ID,Vg2,2024,,open
Elverum videregående skole,Idrettsfag,1,ID,Vg2,2025,,open
Elverum videregående skole,Industriteknologi,0,TP,Vg2,2023,32.5,points
Elverum videregående skole,Industriteknologi,0,TP,Vg2,2024,,open
Elverum videregående skole,Industriteknologi,0,TP,Vg2,2025,35.0,points
Elverum videregående skole,International baccalaureate,0,ST,Vg2,2023,40.0,points
Elverum videregående skole,International baccalaureate,0,ST,Vg2,2024,40.0,points
Elverum videregående skole,International baccalaureate,0,ST,Vg2,2025,40.0,points
Elverum videregående skole,Realfag,0,ST,Vg2,2023,,open
Elverum videregående skole,Realfag,0,ST,Vg2,2024,23.3,points
Elverum videregående skole,Realfag,0,ST,Vg2,2025,,open
Elverum videregående skole,Salg og reiseliv,0,SR,Vg2,2023,,open
Elverum videregående skole,Salg og reiseliv,0,SR,Vg2,2024,,open
Elverum videregående skole,Salg og reiseliv,0,SR,Vg2,2025,,open
Elverum videregående skole,"Salg og reiseliv, YSK 4 år",0,SR,Vg2,2023,,open
Elverum videregående skole,"Salg og reiseliv, YSK 4 år",0,SR,Vg2,2024,,open
Elverum videregående skole,"Salg og reiseliv, YSK 4 år",0,SR,Vg2,2025,,open
Elverum videregående skole,"Språk, samfunn og økonomi",0,ST,Vg2,2023,,open
Elverum videregående skole,"Språk, samfunn og økonomi",0,ST,Vg2,2024,,open
Elverum videregående skole,"Språk, samfunn og økonomi",0,ST,Vg2,2025,,open
Elverum videregående skole,Tømrer,0,BA,Vg2,2023,,open
Elverum videregående skole,Tømrer,0,BA,Vg2,2024,24.3,points
Elverum videregående skole,Tømrer,0,BA,Vg2,2025,38.8,points
Gausdal videregående skole,Idrettsfag,0,ID,Vg1,2023,,open
Gausdal videregående skole,Idrettsfag,0,ID,Vg1,2024,38.8,points
